frame_index,timestamp_s,camera_center_x_px,path_center_x_px,lateral_error,heading_error,angular_z_rad_s,linear_x_m_s,confidence,instruction,left_boundary_detected,right_boundary_detected
936,15.616,640.00,596.43,-0.096999,0.028919,0.059857,0.233038,1.000000,TURN LEFT,1,1
942,15.716,640.00,593.88,-0.098438,0.026383,0.061183,0.232506,1.000000,TURN LEFT,1,1
948,15.816,640.00,596.01,-0.107373,0.038638,0.062814,0.231853,1.000000,TURN LEFT,1,1
954,15.916,640.00,596.57,-0.121490,0.053629,0.065483,0.230406,1.000000,TURN LEFT,1,1
960,16.016,640.00,591.71,-0.137183,0.061736,0.069906,0.227987,1.000000,TURN LEFT,1,1
966,16.116,640.00,593.05,-0.157911,0.084550,0.075208,0.225939,1.000000,TURN LEFT,1,1
972,16.216,640.00,591.28,-0.149687,0.073555,0.078376,0.226567,1.000000,TURN LEFT,1,1
978,16.316,640.00,588.40,-0.169296,0.088679,0.083292,0.224018,1.000000,TURN LEFT,1,1
984,16.416,640.00,586.00,-0.181886,0.097515,0.088610,0.222298,1.000000,TURN LEFT,1,1
990,16.517,640.00,589.72,-0.174252,0.095684,0.091015,0.223675,1.000000,TURN LEFT,1,1
996,16.617,640.00,589.66,-0.161942,0.083291,0.091376,0.225001,1.000000,TURN LEFT,1,1
1002,16.717,640.00,588.16,-0.175359,0.094352,0.093370,0.223324,1.000000,TURN LEFT,1,1
1008,16.817,640.00,592.89,-0.153193,0.079583,0.091598,0.226426,1.000000,TURN LEFT,1,1
1014,16.917,640.00,595.67,-0.145875,0.076612,0.089076,0.227631,1.000000,TURN LEFT,1,1
1020,17.017,640.00,599.04,-0.137522,0.073517,0.085810,0.229035,1.000000,TURN LEFT,1,1
1026,17.117,640.00,598.26,-0.129922,0.064709,0.082725,0.229744,1.000000,TURN LEFT,1,1
1032,17.217,640.00,600.53,-0.117941,0.056262,0.078816,0.231376,0.999376,TURN LEFT,1,1
1038,17.317,640.00,602.75,-0.108287,0.050080,0.074580,0.232751,1.000000,TURN LEFT,1,1
1044,17.417,640.00,603.63,-0.106599,0.049765,0.071206,0.233064,1.000000,TURN LEFT,1,1
1050,17.518,640.00,600.83,-0.110717,0.049514,0.069667,0.232204,1.000000,TURN LEFT,1,1
1056,17.618,640.00,603.08,-0.105753,0.048072,0.067657,0.233076,1.000000,TURN LEFT,1,1
1062,17.718,640.00,598.96,-0.084546,0.020426,0.064466,0.234763,0.988906,TURN LEFT,1,1
1068,17.818,640.00,627.09,0.012908,-0.033077,0.046415,0.250000,1.000000,GO STRAIGHT,1,1
1074,17.918,640.00,642.68,0.076413,-0.072229,0.033419,0.250000,1.000000,GO STRAIGHT,1,1
1080,18.018,640.00,628.15,-0.001128,-0.017381,0.024062,0.250000,1.000000,GO STRAIGHT,1,1
1086,18.118,640.00,612.63,-0.056810,0.014041,0.027878,0.239792,1.000000,GO STRAIGHT,1,1
1092,18.218,640.00,599.79,-0.066828,0.004005,0.033714,0.236805,0.995686,GO STRAIGHT,1,1
1098,18.318,640.00,617.20,0.008699,-0.044319,0.024274,0.250000,1.000000,GO STRAIGHT,1,1
1104,18.418,640.00,630.43,0.065175,-0.080124,0.017477,0.250000,1.000000,GO STRAIGHT,1,1
1110,18.518,640.00,640.44,0.099840,-0.099147,0.000000,0.239118,1.000000,GO STRAIGHT,1,1
1116,18.619,640.00,625.18,0.021507,-0.044661,0.000000,0.250000,0.999627,GO STRAIGHT,1,1
1122,18.719,640.00,630.57,0.069152,-0.083888,0.000000,0.250000,1.000000,GO STRAIGHT,1,1
1128,18.819,640.00,635.51,0.097063,-0.104079,-0.010183,0.240150,1.000000,GO STRAIGHT,1,1
1134,18.919,640.00,636.70,0.119853,-0.125014,-0.020250,0.237505,1.000000,GO STRAIGHT,1,1
1140,19.019,640.00,637.10,0.127369,-0.131905,-0.028401,0.236632,1.000000,GO STRAIGHT,1,1
1146,19.119,640.00,636.87,0.120276,-0.125171,-0.033440,0.237434,1.000000,GO STRAIGHT,1,1
