frame_index,timestamp_s,camera_center_x_px,path_center_x_px,lateral_error,heading_error,angular_z_rad_s,linear_x_m_s,confidence,instruction,left_boundary_detected,right_boundary_detected,control_source,reference_filename,reference_match_index,reference_latitude,reference_longitude,reference_heading_deg,reference_vpr_score,reference_alignment_error,route_turn_error,reference_confidence
252,4.204,640.00,581.78,-0.038288,-0.052675,0.035393,0.239216,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.6516,-0.054102,0.000000,0.748903
258,4.304,640.00,599.57,0.037604,-0.100770,0.025483,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.6516,-0.014016,0.000000,0.748903
264,4.404,640.00,612.29,0.084445,-0.127735,0.018348,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.6516,0.011677,0.000000,0.748903
270,4.505,640.00,603.50,0.028652,-0.085684,0.013211,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.6516,-0.015450,0.000000,0.748903
276,4.605,640.00,587.65,-0.029049,-0.052743,0.009512,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.6516,-0.047197,0.000000,0.748903
282,4.705,640.00,580.50,-0.063113,-0.029859,0.020265,0.237022,0.977809,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.6516,-0.064735,0.000000,0.748903
288,4.805,640.00,565.97,-0.100227,-0.015452,0.032869,0.232321,1.000000,TURN LEFT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.6516,-0.087528,0.000000,0.748903
294,4.905,640.00,543.06,-0.142780,-0.008691,0.048245,0.226225,1.000000,TURN LEFT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.6516,-0.117077,0.000000,0.748903
300,5.005,640.00,544.09,-0.161174,0.011317,0.060765,0.224824,1.000000,TURN LEFT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.6516,-0.123869,0.000000,0.748903
306,5.105,640.00,553.54,-0.165857,0.030762,0.069077,0.225503,0.550000,TURN LEFT,1,0,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.6516,-0.120576,0.000000,0.748903
312,5.205,640.00,557.75,-0.171840,0.043328,0.075080,0.225485,0.550000,TURN LEFT,1,0,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.6516,-0.120665,0.000000,0.748903
318,5.305,640.00,555.84,-0.165098,0.033595,0.079051,0.225825,0.550000,TURN LEFT,1,0,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.6516,-0.119015,0.000000,0.748903
324,5.405,640.00,555.86,-0.157238,0.025771,0.081236,0.226476,0.550000,TURN LEFT,1,0,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.6516,-0.115858,0.000000,0.748903
330,5.506,640.00,556.71,-0.142507,0.012365,0.081454,0.227787,1.000000,TURN LEFT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.6516,-0.109502,0.000000,0.748903
336,5.606,640.00,565.66,-0.126533,0.010373,0.079205,0.230115,1.000000,TURN LEFT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.6516,-0.098219,0.000000,0.748903
342,5.706,640.00,577.54,-0.104210,0.006618,0.074295,0.233298,1.000000,TURN LEFT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.6516,-0.082791,0.000000,0.748903
348,5.806,640.00,583.54,-0.086017,-0.002197,0.068508,0.235476,1.000000,TURN LEFT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.6516,-0.072232,0.000000,0.748903
354,5.906,640.00,587.32,-0.075601,-0.006716,0.063013,0.236761,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,25.6516,-0.066001,0.000000,0.748903
360,6.006,640.00,589.89,-0.065624,-0.012665,0.058326,0.237467,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,27.5453,-0.060601,0.000000,0.782042
366,6.106,640.00,596.93,-0.053248,-0.014046,0.053014,0.239342,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,27.5453,-0.051802,0.000000,0.782042
372,6.206,640.00,603.59,-0.043250,-0.013639,0.038170,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,27.5453,-0.044161,0.000000,0.782042
378,6.306,640.00,608.82,-0.037810,-0.010908,0.027482,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,27.5453,-0.039125,0.000000,0.782042
384,6.406,640.00,612.28,-0.028772,-0.014538,0.019787,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,27.5453,-0.033617,0.000000,0.782042
390,6.506,640.00,617.62,-0.023767,-0.011209,0.014247,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,27.5453,-0.028698,0.000000,0.782042
396,6.607,640.00,614.90,-0.021139,-0.018073,0.010258,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,27.5453,-0.029130,0.000000,0.782042
402,6.707,640.00,611.84,-0.013430,-0.030565,0.007386,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,27.5453,-0.027720,0.000000,0.782042
408,6.807,640.00,595.33,-0.067030,-0.002766,0.017744,0.237981,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,27.5453,-0.058190,0.000000,0.782042
414,6.907,640.00,591.55,-0.076522,0.000818,0.026493,0.236731,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,27.5453,-0.064055,0.000000,0.782042
420,7.007,640.00,592.48,-0.111728,0.037476,0.035782,0.233840,1.000000,TURN LEFT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,27.5453,-0.077630,0.000000,0.782042
426,7.107,640.00,598.81,-0.085623,0.021269,0.039408,0.236802,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,27.5453,-0.063723,0.000000,0.782042
432,7.207,640.00,606.73,-0.079082,0.027093,0.040489,0.238281,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,27.5453,-0.056779,0.000000,0.782042
438,7.307,640.00,607.33,-0.074748,0.023704,0.040812,0.238721,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,27.5453,-0.054714,0.000000,0.782042
444,7.407,640.00,606.83,-0.064783,0.012959,0.040228,0.239512,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,27.5453,-0.051002,0.000000,0.782042
450,7.508,640.00,604.82,-0.060010,0.005041,0.039629,0.239684,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,27.5453,-0.050193,0.000000,0.782042
456,7.608,640.00,611.83,-0.057656,0.013637,0.028533,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,27.5453,-0.045419,0.000000,0.782042
462,7.708,640.00,612.63,-0.054715,0.011956,0.020543,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,27.5453,-0.043801,0.000000,0.782042
468,7.808,640.00,611.59,-0.051108,0.006717,0.014791,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,27.5453,-0.042930,0.000000,0.782042
474,7.908,640.00,612.19,-0.041508,-0.001940,0.010650,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,27.5453,-0.038760,0.000000,0.782042
480,8.008,640.00,610.73,-0.035926,-0.009803,0.007668,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0005.jpg,5,50.10213480,14.39272351,310.69,20.6989,-0.037325,0.000000,0.662230
